,formula,temperature,composition,expected_mfp,mat0_Unnamed: 0,mat0_e_above_hull,mat0_formation_energy_per_atom,mat0_band_gap,mat0_G_Reuss,mat0_G_VRH,mat0_G_Voigt,mat0_G_Voigt_Reuss_Hill,mat0_K_Reuss,mat0_K_VRH,mat0_K_Voigt,mat0_K_Voigt_Reuss_Hill,mat0_elastic_anisotropy,mat0_homogeneous_poisson,mat0_poisson_ratio,mat0_universal_anisotropy,mat0_nsites,mat0_V0,mat0_C,mat0_E0,mat0_B,mat1_Unnamed: 0,mat1_e_above_hull,mat1_formation_energy_per_atom,mat1_band_gap,mat1_G_Reuss,mat1_G_VRH,mat1_G_Voigt,mat1_G_Voigt_Reuss_Hill,mat1_K_Reuss,mat1_K_VRH,mat1_K_Voigt,mat1_K_Voigt_Reuss_Hill,mat1_elastic_anisotropy,mat1_homogeneous_poisson,mat1_poisson_ratio,mat1_universal_anisotropy,mat1_nsites,mat1_V0,mat1_C,mat1_E0,mat1_B
0,AlGaAs,200.0,0.0,3.135355784519391e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.1,3.5491306616409177e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.2,3.9006951863460216e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.30000000000000004,3.8100320467588794e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.4,3.7791985679490113e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.5,3.4843242904875784e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.6000000000000001,3.3359002945610883e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.7000000000000001,3.2995529739096194e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.8,3.24082829859581e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
0,AlGaAs,200.0,0.9,3.8315847780209105e-07,0,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.777606172881304,0,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.78123814090973,5.595473350134549,-4.195228014776406,3.4219810592490565
